role,normalized_role
coordinatore dell'indirizzo,coordinator
coordinatore dell'indirizzo e supervisore,coordinator
coordinatore della ricerca,coordinator
coordinatore della scuola,coordinator
coordinatore della scuola di dottorato,coordinator
coordinatore della scuola di dottorato di ricerca,coordinator
coordinatore della sezione,coordinator
coordinatore della sezione archeologia del medioevo,coordinator
coordinatore della sezione di archeologia del medioevo,coordinator
coordinatore di curriculum,coordinator
coordinatore di dottorato,coordinator
coordinatore di indirizzo,coordinator
coordinatore di ricerca,coordinator
coordinatore di sede,coordinator
coordinatore di sezione,coordinator
coordinatore di tesi,coordinator
coordinatore di tesi/coordinatore di dottorato,coordinator
coordinatore didattico,coordinator
coordinatore dip.,coordinator
coordinatore dl ciclo,coordinator
coordinatore dl dottorato,coordinator
coordinatore dott.,coordinator
coordinatore dottorato,coordinator
coordinatore dottorato di ricerca,coordinator
coordinatore dottorato di ricerca in ecologia,coordinator
coordinatore dottorato di ricerca in fisica,coordinator
coordinatore dottorato esls,coordinator
coordinatore dottorato in economia politica,coordinator
coordinatore dottorato putea,coordinator
coordinatore d’indirizzo,coordinator
coordinatore e co-tutore,co-tutor
coordinatore e correlatore,co-supervisor
coordinatore e correlatore del dottorato,co-supervisor
coordinatore e cotutore,co-tutor
coordinatore e direttore del dottorato,coordinator
coordinatore e direttore della scuola di dottorato,coordinator
coordinatore e direttore di ricerca,coordinator
coordinatore e docente guida,coordinator
coordinatore e docente tutor,coordinator
coordinatore e relatore,coordinator
coordinatore e supervisore,coordinator
coordinatore e supervisore italiano,coordinator
coordinatore e tutor,coordinator
coordinatore e tutore,coordinator and tutor
coordinatore e tutore del dottorato,coordinator
coordinatore generale,coordinator
coordinatore indirizzo,coordinator
coordinatore italiano,coordinator
coordinatore locale,coordinator
coordinatore locale e tutore,coordinator
coordinatore nasp,coordinator
coordinatore nazionale,coordinator
coordinatore ndel collegio dei docenti,coordinator
coordinatore of the course,coordinator
coordinatore per il dottorato,coordinator
coordinatore phd,coordinator
coordinatore phd program,coordinator
coordinatore precedente,coordinator
coordinatore referente del curriculum,coordinator
coordinatore responsabile,coordinator
coordinatore responsabile del dottorato di ricerca in scienze degli alimenti,coordinator
coordinatore scientifico,coordinator
coordinatore scuola di dottorato,coordinator
coordinatore scuola dottorato,coordinator
coordinatore tutor,coordinator
coordinatore tutore e relatore,coordinator
coordinatore ub,coordinator
coordinatore unimi,coordinator
coordinatore vicario,coordinator
coordinatore-tutor,coordinator
coordinatore-tutore,coordinator
coordinatore.,coordinator
coordinatore/direttore,coordinator
coordinatore/ph. d. program coordinator,coordinator
coordinatore/tutor,coordinator
coordinatored del collegio dei docenti,faculty board coordinator
coordinatoredel dottorato,coordinator
coordinatori,coordinator
coordinatori del ciclo,coordinator
coordinatori del corso,coordinator
coordinatori del corso di dottorato,coordinator
coordinatori del dottorato,coordinator
coordinatori del dottorato di ricerca,coordinator
coordinatori delle scuole di dottorato,coordinator
coordinatorice,coordinator
coordinators,coordinator
coordinators of the research doctorate courses,coordinator
coordinatre,coordinator
coordinatrice,coordinator
coordinatrice al dottorato,coordinator
coordinatrice corso di dottorato,coordinator
coordinatrice d'indirizzo,coordinator
coordinatrice dei corsi,coordinator
coordinatrice del ciclo,coordinator
coordinatrice del ciclo di dottorato,coordinator
coordinatrice del collegio dei docenti,coordinator
coordinatrice del collegio docenti,coordinator
coordinatrice del corso,coordinator
coordinatrice del corso di dottorato,coordinator
coordinatrice del dottorato,coordinator
coordinatrice del dottorato di ricerca,coordinator
coordinatrice del dottorato e relatrice,coordinator
coordinatrice del programma di dottorato,coordinator
coordinatrice del programma di dottorato in sociologia,coordinator
coordinatrice dell'indirizzo,coordinator
coordinatrice della commissione di dottorato,committee coordinator
coordinatrice di dottorato,coordinator
coordinatrice dottorato,coordinator
coordinatrice/tutor,coordinator
coordinatrici,coordinator
coordinatrici del dottorato,coordinator
coordinattore,coordinator
coordinbatore,coordinator
coordinbatore del 18. ciclo,coordinator
coordinbatore del corso di dottorato,coordinator
coordinbatore del dottorato,coordinator
coordinetore,coordinator
coordinmatore,coordinator
coordintatore,coordinator
coordintore,coordinator
coordnatore del dottorato,coordinator
coordonnateur du doctorat,contributor
coorelatore,co-supervisor
coorfinatore,coordinator
coorfinatore del dottorato,contributor
coorinatore,coordinator
coorinatore del ciclo,coordinator
coorrelatori,co-supervisor
coortdinator,coordinator
coortdinatore,coordinator
cordinator,contributor
cordinatore,coordinator
cordinatore corso di dottorato,contributor
cordinatore d'indirizzo,contributor
cordinatore del corso,contributor
cordinatore del dottorato,contributor
cordinatore del dottorato di ricerca,contributor
cordinatore e tutor,tutor
corelatore,co-supervisor
corelatori,co-supervisor
corelatori[!,co-supervisor
corelatori[!],supervisor
corporate supervisor,supervisor
correlatoe,contributor
correlator,co-supervisor
correlatore,co-supervisor
correlatore (co-tutor),co-tutor
correlatore (tutor),co-supervisor
correlatore 1,co-supervisor
correlatore 2,co-supervisor
correlatore co-tutor,co-tutor
correlatore del dottorato,co-supervisor
correlatore della tesi,co-supervisor
correlatore di tesi,co-supervisor
correlatore esterno,co-supervisor
correlatore-cotutor,co-tutor
correlatori,co-supervisor
correlatori della tesi,supervisor
correlatrice,co-supervisor
correllatore,co-supervisor
correltrice,co-supervisor
cosupervisor,co-supervisor
cosupervisor of dissertation,co-supervisor
cosupervisor of the thesis,co-supervisor
cosupervisore,co-supervisor
cosupervisori,co-supervisor
cosupervisors,co-supervisor
cotutor,co-tutor
cotutor esterno,co-tutor
cotutor esterno parte spagnola,co-tutor
cotutore,tutor
cotutore del dottorando,co-tutor
cotutore del dottorato,co-tutor
cotutore della dottoranda,co-tutor
cotutore esterno,co-tutor
cotutores,co-tutor
cotutori,co-tutor
cotutori del dottorando,co-tutor
cotutori della ricerca,co-tutor
cotutors,co-tutor
cotutro,contributor
cotuture,co-tutor
course chair,program director
course co-ordinator,coordinator
course coordinator,coordinator
course coordinator and tutor,coordinator
course director,program director
course supervisor,supervisor
co–tutor,tutor
cpoordinatore,coordinator
cpoordinatore del programma di dottorato,coordinator
curator,curator
curatore,curator
curatori,curator
curators,curator
curatrice non afferente all'ateneo,curator not affiliated with the university
curriculum coordinator,coordinator
davanti alla commissione,committee
davanti alla commissione = devant le jury composé de,committee member
dean,contributor
dean of ph.d school,institution
dean of the phd program,phd student
dean of the school,institution
deans of doctoral schools,institution
debater,contributor
decano,contributor
decano del corso di dottorato,contributor
defence committee,committee
defendant,contributor
degree course coordinator,coordinator
department of agricultural and environmental sciences,institution
department of information engineering,institution
devant le jury composé de,jury
dfottorando,phd student
dicente guida,supervisor
dipartimento,institution
dipartimento di ingegneria dell'informazione,institution
dipartimento di neuroscienze direttore,program director
dipartimento di neuroscienze e otorinolaringoiatria direttore,program director
dircteur,contributor
directed by,program director
directeur de l'écol doctorale,program director
directeur de l'école,program director
directeur de l'école doctorale,program director
directeur de recherche,program director
directeur de recherche en france,program director
directeur de recherche en italie,program director
directeur de these,program director
directeur de thèse,director
directeur de thése,program director
directeur du these,program director
directeur en cotutelle,program director
directeur français,program director
directeur of studies,program director
directeur of the doctoral school,program director
directeur école doctorale,program director
directeur] de thèse,contributor
directeurs de recherche,program director
directeurs de recherches,program director
directeurs de these,program director
directeurs de these-tutors,tutor
directeurs de thèse,program director
directeurs de thèse/direttori di ricerca,research director
director,program director
director and supervisor,supervisor
director de la tesis,program director
director de thesis,director
director of doctoral program,program director
director of doctoral school,program director
director of doctoral thesis,program director
director of graduate research,research director
director of graduate school,program director
director of graduate studies,program director
director of graduated school,program director
director of ph. d. in applied physics,program director
director of ph. d. school,program director
director of ph.d. course,program director
director of ph.d. program,program director
director of ph.d. programme,program director
director of phd,program director
director of phd program,program director
director of phd school,program director
director of school,program director
director of studies,program director
director of the course,program director
director of the doctoral program,program director
director of the doctoral programme,program director
director of the doctoral school,program director
director of the doctorate,program director
director of the doctorate program,program director
director of the doctorate school,program director
director of the ph. d. course,program director
director of the ph. d. program,program director
director of the ph. d. program in energy,program director
director of the ph. d. school,program director
director of the ph.d course,program director
director of the ph.d school,program director
director of the ph.d. program,program director
director of the phd course,program director
director of the phd program,program director
director of the phd school,program director
director of the post-graduate programme,program director
director of the research doctorate course,research director
director of the school,program director
director ot studies,program director
director/coordinator,coordinator
directora,program director
directoras,program director
directores,program director
directores de la tesis,program director
directors,program director
directors of studies,program director
directors of the doctoral school,program director
directors of the doctoral schools,program director
directors of the doctorate schools,program director
directors of the phd program,program director
directors of the thesis work,program director
directors of thesis,program director
directrice de l'école,program director
directrice de l'école doctorale,program director
direcxtor of the course,director
direcyeur de thèse,director
diretore della scuola,institution
dirett.,contributor
diretta da,contributor
